Name on List,Name,Gender,Solo/Group,Group,Company,Parent Brand,Main Brand,Title,Notes,Date announced,Region
Wanna One Kang Daniel,Kang Daniel,M,Solo,Soloist,Konnect Entertainment,Cartier,Maison Cartier,Ambassador Group,,01-08-2019,Unknown
Wanna One and NU’EST Hwang Minhyun,Minhyun,M,Solo,Nu'est,HYBE,Moncler,,Brand Ambassador,,01-02-2019,South Korea
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Michael Kors,,Brand Ambassador,,13-02-2019,South Korea
EXO Suho,Suho,M,Solo,Exo,SM,Bvlgari,,Brand Ambassador,,18-02-2019,South Korea
Wanna One Kang Daniel,Kang Daniel,M,Solo,Soloist,Konnect Entertainment,Givenchy,Givenchy Beauty,Brand Ambassador,,17-09-2019,Unknown
GOT7 Jinyoung,Jinyoung,M,Solo,GOT7,BH Entertainment,Tom Ford,Tom Ford Beauty,Brand Ambassador,,01-02-2020,South Korea
Wanna One and NU’EST Hwang Minhyun,Minhyun,M,Solo,Nu'est,HYBE,Jo Malone,,Brand Ambassador,,03-02-2020,South Korea
EXO Baekhyun,Baekhyun,M,Solo,Exo,SM,Burberry,,Brand Ambassador,,17-09-2020,South Korea
EXO Chanyeol,Chanyeol,M,Solo,Exo,SM,Prada,,Brand Ambassador,,18-09-2020,South Korea
Red Velvet Irene,Irene,F,Solo,Red Velvet,SM,Prada,,Brand Ambassador,,18-09-2020,South Korea
Aespa,,F,Group,Aespa,SM,Givenchy,,Brand Ambassador,,10-02-2021,South Korea
Red Velvet Joy,Joy,F,Solo,Red Velvet,SM,Tod's,Hogan,Brand Ambassador,,13-08-2021,South Korea
Girls’ Generation Taeyeon,Taeyeon,F,Solo,Girls' Generation,SM,Amore Pacific,Sulwhasoo,Brand Ambassador,New Concentrated Ginseng Renewing Cream,20-08-2021,South Korea
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Miu Miu,,Brand Ambassador,,22-10-2021,South Korea
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Miu Miu,,Brand Ambassador,,15-11-2021,South Korea
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Converse,,Brand Ambassador,,26-02-2022,South Korea
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Dunst,,Brand Ambassador,,02-03-2022,South Korea
TWICE Mina,Mina,F,Solo,Twice,JYP,SK-II,,Brand Ambassador,,17-03-2022,Asia
BlockB Zico,Zico,M,Solo,Soloist,HYBE,Fendi,,Brand Ambassador,,24-05-2022,South Korea
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Fred Joaillier,,Brand Ambassador,,19-08-2022,South Korea
TWICE Momo,Momo,F,Solo,Twice,JYP,Onitsuka Tiger,,Brand Ambassador,,27-10-2022,Asia Pacific
BlockB Zico,Zico,M,Solo,Soloist,HYBE,Tiffany and Co.,,Brand Ambassador,,24-11-2022,South Korea
NewJeans Hyein,Hyein,F,Solo,NewJeans,HYBE,Louis Vuitton,,Brand Ambassador,,30-12-2022,South Korea
BTS Suga,Suga,M,Solo,BTS,HYBE,Valentino,,Brand Ambassador,,12-01-2023,Global
f(x) Krystal,Krystal Jung,F,Solo,f(x),H&,Pomellato,,Brand Ambassador,,12-01-2023,South Korea
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Fendi,,Brand Ambassador,,18-01-2023,South Korea
Kim Sejong,Kim Sejong,F,Solo,Soloist,Jellyfish,Longchamp,,Brand Ambassador,,06-02-2023,Asia
NewJeans Minji,Minji,F,Solo,NewJeans,HYBE,Chanel,,Brand Ambassador,,14-02-2023,South Korea
TWICE Sana,Sana,F,Solo,Twice,JYP,Amore Pacific,eSpoir,Brand Ambassador,,06-03-2023,South Korea
NewJeans Danielle,Danielle,F,Solo,NewJeans,HYBE,Yves Saint Laurent,,Brand Ambassador,"Jewelry, Fashion, Beauty",13-03-2023,South Korea
BTS V,V,M,Solo,BTS,HYBE,Celine,,Brand Ambassador,,15-03-2023,Global
BTS RM,RM,M,Solo,BTS,HYBE,Bottega Veneta,,Brand Ambassador,,30-03-2023,Global
TWICE Nayeon,Nayeon,F,Solo,Twice,JYP,Tommy Hilfiger,Tommy Jeans,Brand Ambassador,,29-04-2023,Japan
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Calvin Klein,,Brand Ambassador,Jennie for Cavin Klein Collection,04-05-2023,Global
NCT Doyoung,Doyoung,M,Solo,NCT,SM,Dolce & Gabbana,,Brand Ambassador,,10-05-2023,South Korea + Japan
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,The North Face,,Brand Ambassador,,22-05-2023,South Korea
Enhyphen,,M,Group,Enhyphen,HYBE,Prada,,Brand Ambassador,,09-06-2023,South Korea
TWICE Momo,Momo,F,Solo,Twice,JYP,Miu Miu,,Brand Ambassador,,11-06-2023,Japan
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Qeelin,,Brand Ambassador,,06-07-2023,South Korea
TWICE Sana,Sana,F,Solo,Twice,JYP,Graff,,Brand Ambassador,,09-07-2023,Japan
TXT,,M,Group,TXT,HYBE,Dior,,Brand Ambassador,,10-08-2023,South Korea
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Versace,,Campaign,Spring/Summer Campaign,24-03-2022,Asia Pacific
IVE An Yu Jin,An Yujin,F,Solo,IVE,Starship,Versace,,Campaign,Versace's 2022 spring/summer campaign,24-03-2022,Unknown
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Chaumet,Liens,Campaign,Friend of the Maison,08-11-2022,Unknown
TWICE Sana,Sana,F,Solo,Twice,JYP,Prada,Prada Fine Jewelry Campaign,Campaign,,25-11-2022,South Korea
Girls’ Generation YoonA,Yoona,F,Solo,Girls' Generation,SM,Pandora,,Endorsement Model,,20-08-2018,South Korea
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Laura Mercier,,Endorsement Model,,22-03-2021,South Korea
LE SSERAFIM Kazuha,Kazuha,F,Solo,Le Sserafim,HYBE,Calvin Klein,,Endorsement Model,,08-03-2023,South Korea
IVE,,F,Group,IVE,Starship,Puma,,Endorsement Model,,29-06-2023,Asia Pacific
MONSTA X I.M,I.M.,M,Solo,Monsta X,Starship,Versace,,Endorsement Model,Versace Eros Fragrance,21-06-2021,South Korea
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Giordano,,Endorsement Model,,01-02-2023,South Korea
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Amore Pacific,Hera,Face,,14-01-2019,South Korea
Red Velvet Irene,Irene,F,Solo,Red Velvet,SM,Miu Miu,,Face,,03-07-2019,South Korea
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Tamburins,,Face,Tamburin's Perfume Collection,20-09-2022,Global
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Chaumet,,Friend of the Maison,,30-04-2022,South Korea
TWICE Nayeon,Nayeon,F,Solo,Twice,JYP,Chaumet,Joséphine Collection,Friend of the Maison,,08-12-2022,Unknown
BIGBANG G-Dragon,G-Dragon,M,Solo,BIGBANG,YG,Chanel,,Global Ambassador,,17-11-2016,Global
EXO Sehun,Sehun,M,Solo,Exo,SM,Zegna,,Global Ambassador,Ermenegildo Zegna XXX,20-09-2018,Global
BLACKPINK Jennie,Jennie,F,Solo,Blackpink,YG,Chanel,,Global Ambassador,,01-03-2019,Global
EXO Kai,Kai,M,Solo,Exo,SM,Gucci,,Global Ambassador,,15-09-2019,Global
BLACKPINK Rosé,Rosé,F,Solo,Blackpink,YG,Yves Saint Laurent,,Global Ambassador,,03-07-2020,Global
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,Bvlgari,,Global Ambassador,,25-07-2020,Global
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,Celine,,Global Ambassador,,24-09-2020,Global
BLACKPINK Lisa,Lisa,F,Solo,Blackpink,YG,MAC Cosmetics,,Global Ambassador,,24-10-2020,Global
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Dior,,Global Ambassador,,26-03-2021,Global
BLACKPINK Rosé,Rosé,F,Solo,Blackpink,YG,Tiffany and Co.,,Global Ambassador,,21-04-2021,Global
BTS,,M,Group,BTS,HYBE,Louis Vuitton,,Global Ambassador,,22-04-2021,Global
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Louis Vuitton,Eyewear,Global Ambassador,,17-05-2021,Global
Enhyphen,,M,Group,Enhyphen,HYBE,AMI,,Global Ambassador,,28-06-2021,Global
Red Velvet Seulgi,Seulgi,F,Solo,Red Velvet,SM,Ferragamo,,Global Ambassador,,28-06-2021,Global
Hyuna,Hyuna,F,Solo,Soloist,PNation,Loewe,,Global Ambassador,,13-07-2021,Global
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Burberry,,Global Ambassador,,22-07-2021,Global
IVE Jang Won Young,Jang Wonyoung,F,Solo,IVE,Starship,Amore Pacific,Innisfree,Global Ambassador,,27-07-2021,Global
EXO Sehun,Sehun,M,Solo,Exo,SM,Dior,,Global Ambassador,,10-12-2021,Global
BLACKPINK Jisoo,Jisoo,F,Solo,Blackpink,YG,Cartier,,Global Ambassador,Panthère,23-05-2022,Global
IU,IU,F,Solo,Soloist,EDAM Entertainment,Gucci,,Global Ambassador,,30-05-2022,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Cartier,,Global Ambassador,,08-06-2022,Global
ITZY,,F,Group,ITZY,JYP,Charles & Keith,,Global Ambassador,,03-08-2022,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,MAC Cosmetics,,Global Ambassador,,18-08-2022,Global
NMixx,,F,Group,NMixx,JYP,Loewe,,Global Ambassador,,28-09-2022,Global
Jeon Somi,Jeon Somi,F,Solo,Soloist,The Black Label,Prada,Prada Fine Jewelry,Global Ambassador,,12-10-2022,Global
NewJeans Danielle,Danielle,F,Solo,NewJeans,HYBE,Burberry,,Global Ambassador,,05-01-2023,Global
NCT Jaehyun,Jaehyun,M,Solo,NCT,SM,Prada,,Global Ambassador,,11-01-2023,Global
ASTRO Cha Eun Woo,Cha Eunwoo,M,Solo,Astro,Fantagio,Dior,Dior Beauty,Global Ambassador,Capture Totale Serum,17-01-2023,Global
BTS Jimin,Jimin,M,Solo,BTS,HYBE,Dior,,Global Ambassador,,17-01-2023,Global
BIGBANG Taeyang,Taeyang,M,Solo,BIGBANG,The Black Label,Givenchy,,Global Ambassador,,19-01-2023,Global
GOT7 Jackson,Jackson Wang,M,Solo,GOT7,Team Wang,Louis Vuitton,,Global Ambassador,,24-01-2023,Global
NewJeans Hanni,Hanni,F,Solo,NewJeans,HYBE,Armani,Armani Beauty,Global Ambassador,,09-02-2023,Global
Aespa,,F,Group,Aespa,SM,Chopard,,Global Ambassador,,10-02-2023,Global
ITZY,,F,Group,ITZY,JYP,Casio,,Global Ambassador,G-SHOCK,21-02-2023,Global
BTS J-Hope,J-Hope,M,Solo,BTS,HYBE,Louis Vuitton,,Global Ambassador,,24-02-2023,Global
NewJeans Hanni,Hanni,F,Solo,NewJeans,HYBE,Gucci,,Global Ambassador,,24-02-2023,Global
